asgYear,asgMth,asgDay
1933,7,6
1934,7,10
1935,7,8
1936,7,7
1937,7,7
1938,7,6
1939,7,11
1940,7,9
1941,7,8
1942,7,6
1943,7,13
1944,7,11
1945,7,12
1946,7,9
1947,7,8
1948,7,13
1949,7,12
1950,7,11
1951,7,10
1952,7,8
1953,7,14
1954,7,13
1955,7,12
1956,7,10
1957,7,9
1958,7,8
1959,7,7
1959,8,3
1960,7,11
1960,7,13
1961,7,11
1961,7,31
1962,7,10
1962,7,30
1963,7,9
1964,7,7
1965,7,13
1966,7,12
1967,7,11
1968,7,9
1969,7,23
1970,7,14
1971,7,13
1972,7,25
1973,7,24
1974,7,23
1975,7,15
1976,7,13
1977,7,19
1978,7,11
1979,7,17
1980,7,8
1981,8,9
1982,7,13
1983,7,6
1984,7,10
1985,7,16
1986,7,15
1987,7,14
1988,7,12
1989,7,11
1990,7,10
1991,7,9
1992,7,14
1993,7,13
1994,7,12
1995,7,11
1996,7,9
1997,7,8
1998,7,7
1999,7,13
2000,7,11
2001,7,10
2002,7,9
2003,7,15
2004,7,13
2005,7,12
2006,7,11
2007,7,10
2008,7,15
2009,7,14
2010,7,13
2011,7,12
2012,7,10
2013,7,16
2014,7,15
2015,7,14
2016,7,12
